YEAR AS CUSTOMER,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_state,incident_city,incident_location,incident_hour_of_the_day,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
9.50,30,584859,4/4/1992,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,1/9/2015,Multi-vehicle Collision,Front Collision,NY,Hillsdale,8353 Britain Ridge,1,77110,14020,14020,49070,Suburu,Impreza,2015
12.42,37,990493,1/13/1991,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,2/12/2015,Single Vehicle Collision,Side Collision,WV,Hillsdale,3540 Maple St,17,64800,10800,5400,48600,Audi,A3,1999
12.25,33,129872,8/8/2010,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,1/24/2015,Single Vehicle Collision,Front Collision,WV,Springfield,3104 Sky Drive,15,53100,10620,5310,37170,Mercedes,C300,1995
5.17,28,200152,3/9/2003,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,1/9/2015,Single Vehicle Collision,Rear Collision,NY,Northbrook,4981 Weaver St,3,60200,6020,6020,48160,Suburu,Forrestor,2004
24.08,49,933293,2/3/1993,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,1/18/2015,Parked Car,?,WV,Arlington,6676 Tree Lane,16,5330,1230,820,3280,Suburu,Legacy,2001
35.92,54,485664,11/25/2002,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,1/21/2015,Multi-vehicle Collision,Rear Collision,NY,Hillsdale,3930 Embaracadero St,4,62300,12460,6230,43610,Jeep,Wrangler,2007
16.58,37,982871,7/27/1997,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,1/8/2015,Single Vehicle Collision,Front Collision,NC,Columbus,3422 Flute St,4,60170,10940,10940,38290,Nissan,Pathfinder,2011
6.58,26,206213,5/8/1995,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,1/3/2015,Single Vehicle Collision,Rear Collision,WV,Columbus,4862 Lincoln Hwy,19,40000,8000,4000,28000,BMW,M5,2010
9.67,34,616337,8/30/2012,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,1/1/2015,Single Vehicle Collision,Side Collision,WV,Northbrook,5719 2nd Lane,1,97080,16180,16180,64720,BMW,X5,2001
3.08,23,448961,4/30/2006,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,1/16/2015,Multi-vehicle Collision,Side Collision,SC,Springfield,3221 Solo Ridge,17,51660,5740,5740,40180,Dodge,RAM,2010
8.83,30,790442,4/13/2003,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,2/10/2015,Single Vehicle Collision,Rear Collision,NC,Arlington,6660 MLK Drive,23,51120,5680,5680,39760,Mercedes,E400,2005
22.42,44,108844,12/5/2007,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,2/14/2015,Single Vehicle Collision,Front Collision,SC,Springfield,1699 Oak Drive,14,56400,11280,11280,33840,Toyota,Highlander,2014
22.08,40,430029,8/21/2006,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,2/21/2015,Multi-vehicle Collision,Rear Collision,NY,Arlington,4234 Cherokee Lane,17,55120,6890,0,48230,Accura,MDX,2002
13.58,33,529112,1/8/1990,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,2/18/2015,Multi-vehicle Collision,Rear Collision,NC,Northbend,7476 4th St,11,77110,0,14020,63090,Honda,Civic,2014
29.58,47,939631,3/18/1990,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,1/10/2015,Multi-vehicle Collision,Front Collision,WV,Arlington,8907 Tree Ave,19,62800,6280,6280,50240,Audi,A3,2003
14.58,34,866931,1/7/2008,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,2/26/2015,Vehicle Theft,?,NY,Arlington,6619 Flute Ave,5,7290,810,810,5670,Volkswagen,Passat,1995
16.00,35,582011,3/10/1997,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,1/1/2015,Single Vehicle Collision,Rear Collision,WV,Springfield,6011 Britain St,19,76600,15320,7660,53620,Mercedes,C300,2000
35.83,59,691189,1/10/2004,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,1/3/2015,Multi-vehicle Collision,Front Collision,NY,Riverwood,5104 Francis Drive,19,81800,16360,8180,57260,Nissan,Pathfinder,1998
7.58,27,537546,8/20/1994,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,1/17/2015,Vehicle Theft,?,NY,Arlington,2280 4th Ave,4,7260,1320,660,5280,BMW,M5,2008
18.08,39,394975,6/2/2002,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,2/22/2015,Vehicle Theft,?,WV,Northbend,2644 Elm Drive,8,4300,430,430,3440,Toyota,Corolla,2000
18.58,40,729634,4/28/1994,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,1/27/2015,Multi-vehicle Collision,Side Collision,NC,Columbus,7466 MLK Ridge,7,70510,12820,12820,44870,Suburu,Forrestor,1999
16.25,39,282195,8/17/2014,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,2/27/2015,Parked Car,?,VA,Northbend,5821 2nd St,5,2640,480,480,1680,Ford,F150,2009
1.83,26,420810,8/11/2007,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,1/6/2015,Single Vehicle Collision,Rear Collision,NY,Arlington,6723 Best Drive,3,78900,15780,7890,55230,Chevrolet,Silverado,1995
36.58,56,524836,11/20/2008,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,2/28/2015,Multi-vehicle Collision,Front Collision,SC,Columbus,4866 4th Hwy,12,56430,0,6270,50160,Honda,CRV,2014
7.83,32,307195,10/18/1995,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,2/22/2015,Parked Car,?,VA,Riverwood,5418 Britain Ave,19,2400,300,300,1800,Chevrolet,Silverado,2014
0.92,39,623648,5/19/1993,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,1/7/2015,Single Vehicle Collision,Front Collision,WV,Riverwood,4296 Pine Hwy,22,65790,7310,7310,51170,Saab,93,2007
12.58,36,485372,2/26/2005,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,1/6/2015,Multi-vehicle Collision,Side Collision,VA,Hillsdale,2299 1st St,12,62920,11440,5720,45760,Ford,Escape,2000
12.83,34,598554,2/14/1990,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,1/10/2015,Multi-vehicle Collision,Rear Collision,NY,Springfield,6618 Cherokee Drive,15,69480,15440,0,54040,Nissan,Maxima,2014
20.42,44,303987,9/30/1993,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,2/11/2015,Multi-vehicle Collision,Side Collision,OH,Springfield,7459 Flute St,23,44280,7380,3690,33210,Honda,Accord,1997
9.92,32,343161,6/10/2014,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,1/12/2015,Single Vehicle Collision,Side Collision,WV,Hillsdale,3567 4th Drive,12,56300,5630,11260,39410,BMW,M5,2011
17.92,42,519312,10/28/2008,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,2/6/2015,Multi-vehicle Collision,Front Collision,WV,Northbend,2457 Washington Ave,20,68520,11420,5710,51390,Suburu,Legacy,2003
24.58,42,132902,4/24/2007,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,1/20/2015,Multi-vehicle Collision,Rear Collision,VA,Riverwood,1269 Flute Drive,16,59130,6570,6570,45990,Ford,Escape,2006
21.17,39,332867,12/13/1993,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,2/22/2015,Multi-vehicle Collision,Front Collision,NY,Arlington,1218 Sky Hwy,6,82320,13720,6860,61740,Dodge,Neon,1995
8.92,31,356590,8/17/2011,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,1/30/2015,Single Vehicle Collision,Side Collision,SC,Springfield,9169 Pine Ridge,12,89700,13800,13800,62100,Audi,A5,2009
39.83,64,346002,8/20/1990,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,2/2/2015,Multi-vehicle Collision,Side Collision,WV,Hillsdale,8538 Texas Lane,17,33930,0,3770,30160,BMW,X6,1998
10.67,30,500533,2/11/1994,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,1/10/2015,Single Vehicle Collision,Front Collision,WV,Northbrook,5783 Oak Ave,8,68530,12460,6230,49840,Audi,A5,1997
28.17,49,348209,2/22/1994,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,2/27/2015,Parked Car,?,NC,Riverwood,7721 Washington Ridge,13,4300,860,860,2580,Ford,F150,2004
22.58,42,486676,8/15/2011,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,2/20/2015,Multi-vehicle Collision,Side Collision,SC,Hillsdale,8006 Maple Hwy,12,68310,12420,6210,49680,Audi,A3,2003
18.50,41,260845,11/11/1998,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,2/8/2015,Single Vehicle Collision,Front Collision,WV,Northbrook,6751 Pine Ridge,7,61290,6810,6810,47670,Honda,Civic,1995
16.58,41,657045,12/4/1995,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,2/11/2015,Single Vehicle Collision,Rear Collision,NC,Arlington,2324 Texas Ridge,10,30100,3010,0,27090,Chevrolet,Malibu,1999
17.92,37,761189,12/28/2002,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,2/23/2015,Multi-vehicle Collision,Rear Collision,SC,Riverwood,7923 Elm Ave,7,57120,9520,4760,42840,Mercedes,C300,2002
16.00,40,175177,4/15/2004,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,3/1/2015,Multi-vehicle Collision,Side Collision,VA,Springfield,4755 Best Lane,18,42930,9540,4770,28620,BMW,X6,2005
10.00,35,116700,2/2/2001,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,1/15/2015,Multi-vehicle Collision,Front Collision,SC,Riverwood,5053 Tree Drive,22,51210,11380,5690,34140,Ford,Fusion,2010
22.50,45,166264,1/12/2010,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,1/14/2015,Multi-vehicle Collision,Front Collision,NY,Springfield,2078 3rd Ave,18,89400,14900,7450,67050,Suburu,Legacy,1998
26.58,47,527945,4/14/1992,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,2/17/2015,Multi-vehicle Collision,Front Collision,WV,Northbrook,2804 Best St,22,59730,10860,10860,38010,Audi,A3,2005
16.17,39,627540,5/21/2010,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,1/24/2015,Vehicle Theft,?,SC,Springfield,7877 Sky Lane,15,8060,1240,1240,5580,Saab,95,2004
18.92,38,279422,10/27/2013,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,1/21/2015,Single Vehicle Collision,Rear Collision,SC,Northbrook,6530 Weaver Ave,16,72200,14440,7220,50540,BMW,M5,2013
11.42,31,484200,10/12/1994,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,2/19/2015,Multi-vehicle Collision,Side Collision,NC,Arlington,3087 Oak Hwy,6,50800,10160,10160,30480,Accura,MDX,2005
20.33,40,645258,7/4/1997,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,1/3/2015,Vehicle Theft,?,NC,Northbrook,7098 Lincoln Hwy,10,6600,660,1320,4620,Accura,TL,2005
6.50,29,694662,2/15/2011,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,1/29/2015,Vehicle Theft,?,NY,Northbrook,5124 Maple St,3,7500,750,1500,5250,Nissan,Maxima,2002
16.67,35,960680,8/21/1994,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,1/19/2015,Vehicle Theft,?,VA,Hillsdale,2333 Maple Lane,13,6490,1180,1180,4130,Volkswagen,Jetta,2002
23.67,48,498140,5/15/1997,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,1/19/2015,Multi-vehicle Collision,Side Collision,NY,Hillsdale,1012 5th Lane,16,60940,5540,11080,44320,Audi,A3,2013
22.92,41,498875,10/26/1996,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,2/2/2015,Multi-vehicle Collision,Front Collision,NY,Northbrook,7477 MLK Drive,13,58300,5830,11660,40810,Suburu,Legacy,2007
12.75,34,798177,3/4/2006,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,1/30/2015,Multi-vehicle Collision,Front Collision,SC,Columbus,9489 3rd St,9,68400,11400,11400,45600,Ford,F150,2007
11.17,32,614763,1/2/1991,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,1/8/2015,Single Vehicle Collision,Side Collision,VA,Springfield,2087 Apache Ave,2,64240,11680,11680,40880,BMW,3 Series,2015
2.58,36,679370,8/15/1999,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,1/30/2015,Parked Car,?,WV,Arlington,5540 Sky St,9,4700,940,470,3290,Dodge,Neon,2002
3.42,25,958857,1/15/1992,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,1/7/2015,Multi-vehicle Collision,Side Collision,SC,Columbus,7238 2nd St,12,45120,0,5640,39480,Accura,MDX,2011
10.58,29,686816,12/7/1999,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,2/24/2015,Multi-vehicle Collision,Front Collision,SC,Arlington,8442 Britain Hwy,12,66950,10300,10300,46350,Saab,93,1995
5.08,23,127754,6/6/1993,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,2/2/2015,Single Vehicle Collision,Side Collision,NY,Columbus,1331 Britain Hwy,14,98340,8940,17880,71520,Honda,Accord,2004
17.25,42,918629,10/3/2000,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,2/28/2015,Parked Car,?,WV,Springfield,5260 Francis Drive,9,5900,590,590,4720,BMW,X5,2007
18.25,43,731450,12/29/2010,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,2/9/2015,Multi-vehicle Collision,Front Collision,NC,Riverwood,1135 Solo Lane,3,70680,5890,11780,53010,Ford,Fusion,2009
22.58,42,307447,3/17/1990,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,1/19/2015,Multi-vehicle Collision,Rear Collision,SC,Northbend,9737 Solo Hwy,21,93720,17040,8520,68160,Mercedes,ML350,2005
6.67,25,992145,3/1/2012,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,2/21/2015,Vehicle Theft,?,OH,Northbrook,3289 Britain Drive,5,6930,1260,630,5040,Toyota,Highlander,2001
27.08,47,900628,2/5/2006,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,1/14/2015,Single Vehicle Collision,Side Collision,VA,Springfield,6550 Andromedia St,11,72930,6630,6630,59670,Dodge,RAM,2006
2.42,25,235220,11/1/2014,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,1/22/2015,Multi-vehicle Collision,Rear Collision,SC,Hillsdale,1679 2nd Hwy,4,64890,7210,7210,50470,Nissan,Pathfinder,2013
24.58,48,740019,6/17/2009,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,2/22/2015,Parked Car,?,WV,Columbus,3998 Flute St,6,5400,900,900,3600,Saab,95,1999
19.92,42,246882,9/20/1999,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,reading,1/26/2015,Vehicle Theft,?,NC,Northbrook,2430 MLK Ave,10,5600,700,700,4200,Audi,A3,2007
22.42,41,797613,10/19/1990,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,yachting,1/24/2015,Single Vehicle Collision,Rear Collision,SC,Northbend,7717 Britain Hwy,23,79300,15860,15860,47580,Saab,92x,2007
6.67,27,193442,8/5/1996,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,exercise,2/19/2015,Single Vehicle Collision,Side Collision,WV,Northbend,7773 Tree Hwy,13,52800,10560,5280,36960,Saab,95,2004
23.25,41,389238,6/6/2001,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,1/29/2015,Multi-vehicle Collision,Front Collision,NC,Northbrook,2199 Texas Drive,16,28800,0,3600,25200,Ford,Fusion,2013
13.75,33,760179,3/25/2007,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,kayaking,2/15/2015,Parked Car,?,WV,Northbend,1028 Sky Lane,3,2970,330,330,2310,Toyota,Highlander,2008
29.17,54,939905,10/31/2013,OH,500/1000,500,1495.1,0,MALE,College,other-service,basketball,2/12/2015,Multi-vehicle Collision,Side Collision,SC,Northbend,4154 Lincoln Hwy,15,93480,15580,7790,70110,Chevrolet,Malibu,2014
24.58,49,872814,6/13/1992,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,kayaking,1/1/2015,Vehicle Theft,?,WV,Columbus,8085 Andromedia St,4,4320,480,480,3360,Mercedes,E400,2002
38.67,61,632627,10/7/1990,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,1/13/2015,Multi-vehicle Collision,Rear Collision,VA,Northbend,4793 4th Ridge,6,79800,6650,19950,53200,Saab,95,2000
9.83,28,283414,12/28/1991,IN,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,camping,3/1/2015,Multi-vehicle Collision,Front Collision,WV,Columbus,7428 Sky Hwy,22,74200,7420,14840,51940,Volkswagen,Passat,1997
24.83,47,163161,11/11/1998,IL,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,basketball,2/2/2015,Single Vehicle Collision,Front Collision,NY,Northbrook,2306 5th Lane,1,70590,10860,10860,48870,Saab,93,2000
7.25,31,853360,6/26/2009,IN,500/1000,1000,1074.07,0,FEMALE,Masters,sales,chess,1/27/2015,Multi-vehicle Collision,Rear Collision,NY,Springfield,3052 Weaver Ridge,16,60940,5540,11080,44320,Nissan,Ultima,2006
21.75,42,776860,1/11/2009,OH,250/500,500,1337.56,0,FEMALE,College,prof-specialty,video-games,1/12/2015,Single Vehicle Collision,Rear Collision,SC,Riverwood,5211 Weaver Drive,18,74700,7470,14940,52290,Dodge,RAM,2010
37.75,60,149367,3/18/2003,IN,100/300,500,1298.91,6000000,MALE,PhD,craft-repair,dancing,1/6/2015,Single Vehicle Collision,Front Collision,NC,Springfield,7253 MLK St,0,70000,14000,7000,49000,Ford,F150,2015
17.50,41,395269,11/2/2012,IL,500/1000,500,1222.75,0,MALE,High School,exec-managerial,polo,1/30/2015,Multi-vehicle Collision,Rear Collision,WV,Columbus,1454 5th Ridge,12,81070,14740,14740,51590,BMW,X5,2001
14.00,32,981123,5/4/2000,IN,100/300,1000,1059.52,0,MALE,MD,protective-serv,camping,3/1/2015,Multi-vehicle Collision,Side Collision,VA,Hillsdale,5622 Best Ridge,13,57720,14430,9620,33670,Saab,93,2007
